"id","name","category","price","description","unit_shipping_cost"
1467,"Low Country Boil","Fashion",19721,"Ports are used to communicate with the external world.",9.7204075
1468,"Bellini","Sports & Outdoor",5206,"Ports are used to communicate with the external world.",5.337386
1469,"Spanish rice","Books",10566,"It is also a garbage-collected runtime system.",8.713855
1470,"Sandwich","Home & Garden",17833,"Any element of a tuple can be accessed in constant time.",6.2872596
1471,"Onion Rings","Sports & Outdoor",19658,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",4.8829517
1472,"Chicken fried steak","Fashion",16550,"Ports are used to communicate with the external world.",6.730315
1473,"Geoduck","Health & Hygine",17532,"He looked inquisitively at his keyboard and wrote another sentence.",2.9956694
1474,"Souvlaki","Electronics",5723,"It is also a garbage-collected runtime system.",9.351103
1475,"Glorified rice","Electronics",3333,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",2.4096763
1476,"Maple Bacon Doughnut","Beauty & Personal",5290,"The arguments can be primitive data types or compound data types.",9.865947
1477,"Creamed eggs on toast","Music Instruments",2897,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",9.180277
1478,"Thousand Island dressing","Electronics",11560,"I don't even care.",8.053399
1479,"Macaroni and cheese","Beauty & Personal",15679,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",3.6552565
1480,"Porterhouse Steak","Home & Garden",4080,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",2.2596552
1481,"Toaster Strudel","Music Instruments",2032,"Where are my pants?",5.8150864
1482,"Steak Tartare","Fashion",18984,"Do you have any idea why this is not working?",7.448288
1483,"Pulled pork","Sports & Outdoor",12238,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",6.015605
1484,"Milk toast","Sports & Outdoor",10057,"It is also a garbage-collected runtime system.",4.439372
1485,"Tuna casserole","Office Supply",7911,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",3.2503536
1486,"Scrapple","Video Games",17173,"Any element of a tuple can be accessed in constant time.",6.8879333
1487,"Rabbit pie","Beauty & Personal",1284,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",6.2510934
1488,"Barbecue","Electronics",15514,"Type classes first appeared in the Haskell programming language.",9.654715
1489,"Jell-O","Fashion",10848,"Do you come here often?",8.898105
1490,"Bi Bim Bap","Music Instruments",16915,"The arguments can be primitive data types or compound data types.",7.7855215
1491,"Polenta","Office Supply",16102,"Its main implementation is the Glasgow Haskell Compiler.",9.695076
1492,"Chicken Alfredo","Music Instruments",17493,"Any element of a tuple can be accessed in constant time.",8.164794
1493,"Turducken","Beauty & Personal",16128,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2.5461407
1494,"Lobster Newberg","Sports & Outdoor",12421,"Make me a sandwich.",6.5610914
1495,"Poutine","Home & Garden",16006,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",8.089145
1496,"Corn chowder","Sports & Outdoor",8308,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",2.651726
1497,"Pop-Tarts","Books",13665,"Type classes first appeared in the Haskell programming language.",8.097395
1498,"Seafood cocktail","Sports & Outdoor",9491,"He looked inquisitively at his keyboard and wrote another sentence.",6.914069
1499,"Sweet Potato Fries","Music Instruments",4314,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",8.508223
1500,"Beef Manhattan","Health & Hygine",12491,"He looked inquisitively at his keyboard and wrote another sentence.",7.5807924
1501,"Chocolate cheesecake","Electronics",1174,"Where are my pants?",7.618758
1502,"Butter cookie","Health & Hygine",14148,"Erlang is a general-purpose, concurrent, functional programming language.",3.838032
1503,"Deviled egg","Electronics",19755,"Erlang is known for its designs that are well suited for systems.",4.9512634
1504,"Yeung Chow fried rice","Home & Garden",1449,"It is also a garbage-collected runtime system.",3.1503057
1505,"Massaman Curry","Home & Garden",18146,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",8.952763
1506,"Greek salad","Health & Hygine",1998,"Any element of a tuple can be accessed in constant time.",7.029841
1507,"Piroshky","Home & Garden",8567,"Haskell features a type system with type inference and lazy evaluation.",2.2256842
1508,"Crab Rangoon","Electronics",10416,"In 1989 the building was heavily damaged by fire, but it has since been restored.",4.309394
1509,"Crab Rangoon","Beauty & Personal",8697,"Make me a sandwich.",9.486176
1510,"Samosa","Video Games",8663,"Tuples are containers for a fixed number of Erlang data types.",7.982537
1511,"Macaroni salad","Books",15410,"Erlang is a general-purpose, concurrent, functional programming language.",8.960702
1512,"Pickled Okra","Electronics",7098,"Do you come here often?",2.4639199
1513,"Russian tea cake","Electronics",13099,"Erlang is a general-purpose, concurrent, functional programming language.",4.780895
1514,"Grilled Snake","Office Supply",4585,"The arguments can be primitive data types or compound data types.",6.8234916
1515,"Osso Buco","Health & Hygine",11201,"Erlang is a general-purpose, concurrent, functional programming language.",9.944939
1516,"Paella","Fashion",7246,"It is also a garbage-collected runtime system.",4.7082443
1517,"Jalapeno Poppers","Home & Garden",10334,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",4.5489974
1518,"Italian Beef Sandwich","Books",6876,"Any element of a tuple can be accessed in constant time.",7.0878415
1519,"Pistachio Ice Cream","Office Supply",6484,"Its main implementation is the Glasgow Haskell Compiler.",5.6305413
1520,"Mashed pumpkin","Home & Garden",904,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",4.2252097
1521,"Oysters Rockefeller","Health & Hygine",10687,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",4.420341
1522,"Stuffed zucchini","Home & Garden",7245,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",5.299874
1523,"Tin Roof Ice Cream","Books",17424,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",8.921966
1524,"Tin Roof Ice Cream","Office Supply",3610,"Type classes first appeared in the Haskell programming language.",8.629001
1525,"Black Pudding","Health & Hygine",9155,"Do you come here often?",9.814907
1526,"Turkish Delight","Music Instruments",3600,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",5.97566
1527,"Garden salad","Health & Hygine",7379,"Ports are used to communicate with the external world.",8.595482
1528,"Porterhouse Steak","Home & Garden",12807,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",9.911391
1529,"Russian tea cake","Video Games",10620,"Erlang is a general-purpose, concurrent, functional programming language.",6.0793514
1530,"Sichuan Hot Pot","Office Supply",17228,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",3.6445253
1531,"Bulgogi","Office Supply",13907,"Make me a sandwich.",3.741395
1532,"Low Country Boil","Health & Hygine",16126,"Type classes first appeared in the Haskell programming language.",2.5212662
1533,"Cheese fries","Beauty & Personal",7521,"The arguments can be primitive data types or compound data types.",7.778474
1534,"Sweet Potato Fries","Video Games",1930,"Ports are created with the built-in function open_port.",2.5527246
1535,"Shawarma","Office Supply",18573,"Make me a sandwich.",9.587184
1536,"Churrasco","Video Games",17656,"I don't even care.",2.8223171
1537,"Chili dog","Video Games",15606,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",2.1963613
1538,"Buffalo burger","Music Instruments",1835,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",6.725201
1539,"Supreme pizza","Video Games",12784,"Erlang is known for its designs that are well suited for systems.",3.1651897
1540,"French Dip","Music Instruments",7301,"Do you have any idea why this is not working?",6.9723854
1541,"Juba","Books",6668,"The arguments can be primitive data types or compound data types.",6.4010525
1542,"Tetrazzini","Fashion",12643,"She spent her earliest years reading classic literature, and writing poetry.",5.2890873
1543,"Corn dog","Office Supply",18165,"Atoms are used within a program to denote distinguished values.",7.4709616
1544,"Bruschetta","Electronics",19367,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",3.71098
1545,"Blue-plate special","Video Games",1149,"I don't even care.",7.4648685
1546,"Celery Victor","Sports & Outdoor",16525,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",3.2159889
1547,"Ice Cream","Home & Garden",19995,"Where are my pants?",6.0107756
1548,"Poutine","Video Games",19326,"Do you come here often?",9.4855795
1549,"Fortune cookie","Health & Hygine",14322,"Make me a sandwich.",8.121522
1550,"Gumbo","Health & Hygine",19766,"The arguments can be primitive data types or compound data types.",4.804255
1551,"Mini pizzas","Health & Hygine",17540,"Do you come here often?",5.1495614
1552,"Cheese Curds","Beauty & Personal",13163,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",6.5421124
1553,"Wasabi Peas","Sports & Outdoor",4623,"Erlang is known for its designs that are well suited for systems.",7.5455694
1554,"Carolina style","Electronics",13412,"Ports are created with the built-in function open_port.",9.914229
1555,"Queso Fresco","Home & Garden",9219,"Haskell features a type system with type inference and lazy evaluation.",4.1821856
1556,"Wasabi Peas","Electronics",16474,"Its main implementation is the Glasgow Haskell Compiler.",8.71938
1557,"New York-Style Pizza","Fashion",19213,"Make me a sandwich.",8.747108
1558,"Beef Manhattan","Office Supply",5189,"Do you come here often?",2.1560693
1559,"Poutine","Sports & Outdoor",14347,"I don't even care.",6.307085
1560,"Goulash","Health & Hygine",8373,"Any element of a tuple can be accessed in constant time.",2.0410805
1561,"Pan Seared Scallops","Beauty & Personal",533,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",3.0281787
1562,"Sauteed Morel Mushrooms","Health & Hygine",13335,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",8.44118
1563,"Cowboy beans","Health & Hygine",18418,"Type classes first appeared in the Haskell programming language.",4.154847
1564,"Macaroni salad","Music Instruments",1878,"Its main implementation is the Glasgow Haskell Compiler.",5.2825823
1565,"Phaal","Music Instruments",6360,"Make me a sandwich.",2.6470792
1566,"Bi Bim Bap","Music Instruments",10771,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.846447
1567,"City chicken","Beauty & Personal",2230,"Erlang is a general-purpose, concurrent, functional programming language.",5.4779882
1568,"White chocolate cookie","Beauty & Personal",2864,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",3.7446172
1569,"Chicken nugget","Music Instruments",12450,"Type classes first appeared in the Haskell programming language.",7.968747
1570,"Bull roast","Beauty & Personal",10402,"In 1989 the building was heavily damaged by fire, but it has since been restored.",3.6778927
1571,"Macaroni salad","Electronics",8982,"He looked inquisitively at his keyboard and wrote another sentence.",3.2216022
1572,"Sichuan Hot Pot","Fashion",10903,"She spent her earliest years reading classic literature, and writing poetry.",5.8318963
1573,"Alice Springs Chicken","Electronics",6029,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",4.209243
1574,"Smelt","Home & Garden",10444,"It is also a garbage-collected runtime system.",2.7928758
1575,"Thousand Island dressing","Video Games",6694,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",6.8417864
1576,"Suckling Pig","Office Supply",13548,"Ports are created with the built-in function open_port.",5.815232
1577,"Shucked Oysters","Electronics",13606,"He looked inquisitively at his keyboard and wrote another sentence.",6.3281727
1578,"Blue-plate special","Electronics",5472,"Make me a sandwich.",6.068432
1579,"Mango and Sticky Rice","Fashion",8328,"Atoms are used within a program to denote distinguished values.",7.953504
1580,"Cordon bleu","Video Games",14936,"Atoms are used within a program to denote distinguished values.",5.5899334
1581,"Venison","Office Supply",13359,"She spent her earliest years reading classic literature, and writing poetry.",3.767339
1582,"Fajitas","Books",2933,"Ports are used to communicate with the external world.",8.290007
1583,"Chicken bog","Home & Garden",6616,"Make me a sandwich.",5.7421484
1584,"Energy bar","Books",11722,"Ports are used to communicate with the external world.",4.7060323
1585,"Clam chowder","Fashion",2253,"Do you have any idea why this is not working?",8.627303
1586,"Corn relish","Electronics",10540,"He looked inquisitively at his keyboard and wrote another sentence.",6.1837096
1587,"Bookbinder Soup","Home & Garden",10563,"Any element of a tuple can be accessed in constant time.",9.96057
1588,"Haggis","Electronics",14833,"Erlang is known for its designs that are well suited for systems.",4.181766
1589,"Poppyseed muffin","Music Instruments",16256,"Do you come here often?",2.2205484
1590,"Russian dressing","Fashion",6968,"Where are my pants?",9.54513
1591,"Maine Lobster","Books",16255,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",3.8576155
1592,"Sonofabitch stew","Electronics",7303,"Its main implementation is the Glasgow Haskell Compiler.",2.6282208
1593,"Oreo","Sports & Outdoor",11028,"Type classes first appeared in the Haskell programming language.",8.858993
1594,"Pan Seared Scallops","Sports & Outdoor",13772,"It is also a garbage-collected runtime system.",4.4522614
1595,"Cordon bleu","Music Instruments",12478,"Type classes first appeared in the Haskell programming language.",6.5822897
1596,"Abalone","Sports & Outdoor",17676,"Do you come here often?",3.338811
1597,"Chicken Liver Pate","Office Supply",14829,"It is also a garbage-collected runtime system.",4.8601403
1598,"Bagels and Lox","Fashion",8154,"Type classes first appeared in the Haskell programming language.",7.2786603
1599,"Chicken Salad Wrap","Health & Hygine",1020,"Ports are used to communicate with the external world.",5.229798
1600,"Eggo","Books",18748,"Erlang is known for its designs that are well suited for systems.",3.6313868
1601,"Stuffed ham","Music Instruments",4392,"In 1989 the building was heavily damaged by fire, but it has since been restored.",4.864437
1602,"Mashed potato","Fashion",804,"Do you have any idea why this is not working?",2.644708
1603,"Waffle","Video Games",2719,"He looked inquisitively at his keyboard and wrote another sentence.",4.599277
1604,"Fried Catfish","Fashion",3167,"Do you come here often?",3.6970923
1605,"Queso Fresco","Fashion",11819,"Erlang is known for its designs that are well suited for systems.",7.507054
1606,"Ice Cream Sundae","Books",11689,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",5.270977
1607,"Rice and gravy","Office Supply",3249,"The arguments can be primitive data types or compound data types.",2.3064404
1608,"New York-Style Pizza","Fashion",2135,"In 1989 the building was heavily damaged by fire, but it has since been restored.",3.4710724
1609,"Schnitzel","Electronics",1095,"Do you have any idea why this is not working?",2.1001801
1610,"Jambalaya","Sports & Outdoor",16104,"Ports are used to communicate with the external world.",5.0854683
1611,"Falafel","Health & Hygine",14967,"Tuples are containers for a fixed number of Erlang data types.",7.9579296
1612,"Coleslaw","Home & Garden",874,"In 1989 the building was heavily damaged by fire, but it has since been restored.",6.9460945
1613,"Piroshky","Home & Garden",6175,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",3.2999337
1614,"Fry sauce","Health & Hygine",7031,"In 1989 the building was heavily damaged by fire, but it has since been restored.",4.5702233
1615,"Chimichanga","Beauty & Personal",11807,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",9.147392
1616,"Sweet Potato Fries","Music Instruments",4958,"Ports are used to communicate with the external world.",2.9960454
1617,"Mulligan stew","Office Supply",14641,"Do you have any idea why this is not working?",3.4578667
1618,"Chili dog","Electronics",11801,"Erlang is a general-purpose, concurrent, functional programming language.",6.457179
1619,"Jalapeno Poppers","Office Supply",18864,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",6.7116957
1620,"Pepperoni Pizza","Fashion",1563,"It is also a garbage-collected runtime system.",8.175932
1621,"Chicken sandwich","Home & Garden",8053,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",3.1295729
1622,"Spring Rolls","Office Supply",1811,"Do you come here often?",5.1203284
1623,"Turducken","Home & Garden",13055,"It is also a garbage-collected runtime system.",9.448673
1624,"Philly Cheese Steak","Electronics",12117,"Erlang is a general-purpose, concurrent, functional programming language.",8.19979
1625,"Tin Roof Ice Cream","Books",9451,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",5.1865587
1626,"Bi Bim Bap","Electronics",14568,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",2.2006474
1627,"Chile Relleno","Beauty & Personal",4717,"Where are my pants?",4.3550897
1628,"Corned beef","Sports & Outdoor",19291,"Any element of a tuple can be accessed in constant time.",9.527393
1629,"Chicken Divan","Books",16554,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",9.315558
1630,"Pickled cucumber","Home & Garden",14804,"I don't even care.",7.1147866
1631,"Domesticated turkey","Beauty & Personal",18359,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.6241717
1632,"Milk toast","Video Games",15550,"He looked inquisitively at his keyboard and wrote another sentence.",4.7168355
1633,"Key Lime Pie","Video Games",2202,"Make me a sandwich.",7.332449
1634,"Salisbury steak","Office Supply",9257,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",2.5167832
1635,"Parma Ham","Health & Hygine",2343,"Where are my pants?",5.1749916
1636,"Bruschetta","Beauty & Personal",6735,"Atoms are used within a program to denote distinguished values.",7.470578
1637,"Hoppin' John","Books",9751,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2.8894515
1638,"Onion ring","Sports & Outdoor",18494,"Its main implementation is the Glasgow Haskell Compiler.",4.147383
1639,"Chicken Salad Wrap","Electronics",7211,"I don't even care.",4.3858113
1640,"Squab","Home & Garden",14076,"In 1989 the building was heavily damaged by fire, but it has since been restored.",7.537841
1641,"Tuna casserole","Office Supply",3969,"Where are my pants?",6.3514132
1642,"Steak sandwich","Home & Garden",11793,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",2.9153602
1643,"White chocolate cookie","Home & Garden",1120,"In 1989 the building was heavily damaged by fire, but it has since been restored.",3.1062853
1644,"Protein bar","Health & Hygine",12126,"Make me a sandwich.",3.5772462
1645,"Swiss steak","Video Games",16600,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",7.4502745
1646,"Muffuletta","Music Instruments",5070,"Erlang is known for its designs that are well suited for systems.",3.8929698
1647,"Creamed corn","Books",2067,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",5.956445
1648,"Tres Leches Cake","Music Instruments",13372,"Atoms are used within a program to denote distinguished values.",3.6874263
1649,"Mission burrito","Beauty & Personal",14150,"Where are my pants?",3.7017255
1650,"Pistachio Ice Cream","Books",10885,"Erlang is a general-purpose, concurrent, functional programming language.",8.955566
1651,"Veggie Pizza","Books",9705,"Where are my pants?",4.5670238
1652,"Soft Shell Crab","Video Games",9406,"Its main implementation is the Glasgow Haskell Compiler.",5.5123696
1653,"St. Paul Sandwich","Electronics",6085,"Do you have any idea why this is not working?",3.1982079
1654,"Fish and Chips!","Books",19574,"The arguments can be primitive data types or compound data types.",4.843603
1655,"Ratatouille","Books",12531,"The arguments can be primitive data types or compound data types.",5.759851
1656,"Ice Cream Sundae","Beauty & Personal",19383,"Ports are created with the built-in function open_port.",7.602647
1657,"Bellini","Fashion",17301,"Ports are used to communicate with the external world.",8.676617
1658,"Ribs","Beauty & Personal",7082,"Where are my pants?",7.0868545
1659,"Waffle","Office Supply",16441,"He looked inquisitively at his keyboard and wrote another sentence.",6.6821675
1660,"Calf's liver and bacon","Sports & Outdoor",6554,"Any element of a tuple can be accessed in constant time.",3.6562276
1661,"Roasted Bone Marrow","Health & Hygine",13732,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",2.338462
1662,"Pulled pork","Sports & Outdoor",14981,"Do you come here often?",6.498104
1663,"Maple bacon donut","Electronics",9327,"Type classes first appeared in the Haskell programming language.",6.2341766
1664,"Beignets","Home & Garden",10888,"Atoms are used within a program to denote distinguished values.",2.2033706
1665,"Chicken bog","Beauty & Personal",2880,"I don't even care.",7.8646317
1666,"Sweetbreads","Electronics",11928,"Any element of a tuple can be accessed in constant time.",5.5442395
1667,"Mashed pumpkin","Books",10407,"It is also a garbage-collected runtime system.",8.345945
1668,"Clam chowder","Office Supply",12063,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",4.211828
1669,"Corn flakes","Books",10831,"Type classes first appeared in the Haskell programming language.",7.746881
1670,"Porterhouse Steak","Health & Hygine",15170,"The arguments can be primitive data types or compound data types.",6.2855873
1671,"Swiss steak","Electronics",16047,"Make me a sandwich.",8.169462
1672,"Thousand Island dressing","Office Supply",5147,"He looked inquisitively at his keyboard and wrote another sentence.",7.537756
1673,"Salisbury steak","Office Supply",9091,"It is also a garbage-collected runtime system.",2.9707596
1674,"Chocolate Brownie","Video Games",14696,"She spent her earliest years reading classic literature, and writing poetry.",5.106069
1675,"Pickled Okra","Sports & Outdoor",16906,"She spent her earliest years reading classic literature, and writing poetry.",4.338678
1676,"Spaghetti Bolognese","Sports & Outdoor",9307,"I don't even care.",4.3465924
1677,"Steak sauce","Home & Garden",16459,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",6.903292
1678,"Bacon Cheeseburger","Books",9978,"The arguments can be primitive data types or compound data types.",7.9063053
1679,"St. Paul Sandwich","Fashion",8274,"She spent her earliest years reading classic literature, and writing poetry.",2.816231
1680,"Carne pizzaiola","Books",6875,"In 1989 the building was heavily damaged by fire, but it has since been restored.",7.511776
1681,"Spaghetti Bolognese","Sports & Outdoor",10012,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",4.463728
1682,"Montreal Smoked Meat","Electronics",7177,"Erlang is a general-purpose, concurrent, functional programming language.",3.5685687
1683,"Pemmican","Fashion",15801,"Any element of a tuple can be accessed in constant time.",4.8344164
1684,"BBQ Ribs","Home & Garden",14262,"I don't even care.",3.4855945
1685,"Churrasco","Sports & Outdoor",3332,"Type classes first appeared in the Haskell programming language.",4.989083
1686,"Barbecue","Health & Hygine",6410,"Haskell features a type system with type inference and lazy evaluation.",3.4893157
1687,"Spaghetti and Meatballs","Fashion",12241,"Ports are created with the built-in function open_port.",5.7079563
1688,"Salmon pasta bake","Music Instruments",4886,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",8.121662
1689,"Spring Rolls","Beauty & Personal",15991,"Erlang is known for its designs that are well suited for systems.",7.4238033
1690,"Hot Chicken sandwich","Fashion",12313,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",5.9313464
1691,"Chinese food","Beauty & Personal",6606,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",3.8763335
1692,"Rolled oyster","Books",17339,"Its main implementation is the Glasgow Haskell Compiler.",8.251034
1693,"Pocky","Video Games",11650,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",3.2077298
1694,"Swiss steak","Beauty & Personal",12346,"The arguments can be primitive data types or compound data types.",6.3539186
1695,"Cobb Salad","Home & Garden",564,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",6.3402424
1696,"Tetrazzini","Books",13755,"Ports are used to communicate with the external world.",4.7576795
1697,"Massaman Curry","Sports & Outdoor",2827,"It is also a garbage-collected runtime system.",2.686281
1698,"Veggie Pizza","Office Supply",686,"Do you come here often?",5.956489
1699,"Tres Leches Cake","Office Supply",18611,"Do you have any idea why this is not working?",9.164288
1700,"Bagels and Lox","Electronics",2635,"Do you come here often?",8.683147
1701,"Pork Belly","Video Games",9748,"Where are my pants?",5.512307
1702,"Kimchi","Books",14740,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",9.3472395
1703,"Breakfast burrito","Books",18074,"The arguments can be primitive data types or compound data types.",4.765886
1704,"Albacore Tuna Melt","Health & Hygine",13685,"I don't even care.",9.2282915
1705,"Tagine","Video Games",3152,"The arguments can be primitive data types or compound data types.",6.506436
1706,"Slinger","Music Instruments",19811,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.8250523
1707,"Pop-Tarts","Video Games",19116,"It is also a garbage-collected runtime system.",7.393604
1708,"Bear claw","Office Supply",18863,"Erlang is a general-purpose, concurrent, functional programming language.",4.256383
1709,"Sichuan Hot Pot","Home & Garden",6994,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",3.4798508
1710,"Ceviche","Sports & Outdoor",7059,"The arguments can be primitive data types or compound data types.",4.8807135
1711,"Fried chicken","Home & Garden",7508,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",8.228474
1712,"Bull roast","Electronics",1163,"Haskell features a type system with type inference and lazy evaluation.",3.5577414
1713,"Bagels and Lox","Music Instruments",901,"In 1989 the building was heavily damaged by fire, but it has since been restored.",6.851621
1714,"Boulliabaise","Books",4869,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",8.157671
1715,"Pancakes","Sports & Outdoor",2721,"Its main implementation is the Glasgow Haskell Compiler.",5.519271
1716,"Chili dog","Books",13249,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",3.5717285
1717,"Jell-O","Electronics",19319,"Tuples are containers for a fixed number of Erlang data types.",8.719529
1718,"Pizza strips","Music Instruments",2295,"Do you come here often?",2.7908134
1719,"Queso Fresco","Books",15347,"The arguments can be primitive data types or compound data types.",9.914131
1720,"Cheese stuffed crust pizza","Electronics",3496,"Tuples are containers for a fixed number of Erlang data types.",5.7501607
1721,"Bookbinder Soup","Music Instruments",9977,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",7.726279
1722,"Pasta salad","Beauty & Personal",10309,"Erlang is known for its designs that are well suited for systems.",3.8044567
1723,"Caviar","Video Games",18996,"He looked inquisitively at his keyboard and wrote another sentence.",7.779119
1724,"Pancakes","Health & Hygine",5699,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",7.031799
1725,"Pistachio Ice Cream","Office Supply",9805,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",5.1064487
1726,"Bangers and mash","Home & Garden",2493,"Its main implementation is the Glasgow Haskell Compiler.",9.936554
1727,"Suckling Pig","Health & Hygine",10231,"Make me a sandwich.",7.669471
1728,"Potato Wedges","Video Games",886,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",5.08307
1729,"Russian tea cake","Health & Hygine",6112,"Do you come here often?",6.0048723
1730,"Banh Mi Viêt","Fashion",9971,"Do you come here often?",3.4615657
1731,"Pasta salad","Video Games",11814,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",7.4516068
1732,"Barbecue","Home & Garden",13187,"Atoms are used within a program to denote distinguished values.",2.1786804
1733,"Chicken French","Health & Hygine",16441,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",6.3952303
1734,"Potato salad","Books",13187,"In 1989 the building was heavily damaged by fire, but it has since been restored.",5.9825845
1735,"Hawaiian Pizza","Office Supply",17972,"Where are my pants?",2.8238633
1736,"Chili dog","Music Instruments",13575,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",8.884948
1737,"Scampi","Health & Hygine",17845,"Ports are used to communicate with the external world.",6.4259033
1738,"Calamari","Music Instruments",18174,"Type classes first appeared in the Haskell programming language.",3.067643
1739,"Poke","Video Games",16073,"Type classes first appeared in the Haskell programming language.",8.961615
1740,"Currywurst","Electronics",19489,"The arguments can be primitive data types or compound data types.",2.1759453
1741,"Cheese balls","Beauty & Personal",8720,"Make me a sandwich.",9.498955
1742,"Muffuletta","Sports & Outdoor",4450,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",4.614333
1743,"Bangers and mash","Fashion",1184,"Ports are used to communicate with the external world.",8.994569
